"","Woodiness_herbaceous","Woodiness_woody","Climbing_climbing","Climbing_non.climbing","Aquatic_aquatic","Aquatic_non.aquatic","SexualSystem_dimorphic","SexualSystem_monomorphic","Lifespan_long","Lifespan_short","Mating_mixed","Mating_outcrossing","Mating_selfing","Pollination_abiotic","Pollination_autonomous","Pollination_biotic","Dispersal_abiotic","Dispersal_autonomous","Dispersal_biotic","FlowerSex_bisexual","FlowerSex_unisexual","FloralReward_nectar","FloralReward_none","FloralReward_other","FloralReward_pollen","FlowerSymmetry_actinomorphic","FlowerSymmetry_other","FlowerSymmetry_zygomorphic","Showiness_bright","Showiness_dull","Maximum.vertical.height","Number.of.fertile.stamens","Number.of.ovules.per.carpel","Pollen.size","Pollen.ovule.ratio","Number.of.carpels","Fusion.of.ovaries","Fruit.length","Fruit.width","Length.of.gynoecium","Outcrossing.rate","Flower.size"
"Petrosavia sakuraii",1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,NA,NA,NA,1,0,1,0,0,0,1,0,0,1,0,NA,6,NA,NA,55,3,NA,NA,NA,NA,NA,0.5
"Petunia axillaris",1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,NA,NA,NA,NA,1,0,0,1,0,0.6,4,NA,NA,NA,2,NA,1.35,0.7,NA,0.62,7.75
"Peumus boldus",0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,NA,NA,NA,NA,1,0,0,NA,NA,5,38.5,1,NA,NA,5,0,NA,NA,NA,NA,NA
"Phelline comosa",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,1,0,0,1,0,NA,4,1,NA,NA,4.5,1,NA,NA,NA,NA,NA
"Phoenix dactylifera",0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,30,6,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"Phormium tenax",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,NA,6,NA,NA,NA,3,NA,7,2.5,NA,NA,3.75
"Phragmites australis",1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,NA,NA,NA,0,1,5.3,2.5,1,NA,NA,3,NA,NA,NA,NA,NA,NA
"Phryma leptostachya",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,0,0,1,1,0,0.7,4,1,38,2535.5,2,1,NA,NA,NA,NA,NA
"Phyllanthus niruri",1,0,0,1,0,1,0,1,0,1,0,1,0,NA,NA,NA,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
"Physena madagascariensis",0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,NA,NA,NA,0,1,0,1,0,0,1,0,0,0,1,NA,10,1,NA,NA,2,1,NA,NA,NA,NA,NA
"Picramnia polyantha",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,0,0,1,0,1,1,0,0,0,1,0,0,1,0,NA,5.5,2,NA,NA,2,1,NA,NA,NA,NA,NA
"Pinguicula alpina",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,800,NA,NA,NA,NA,NA,NA,NA
"Piper amalago",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,NA,NA,NA,NA,1,0,0,1,0,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Piper arboreum",0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pitcairnia albiflos",1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,NA,NA,NA,1,0,1,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pittosporum dasycaulon",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,NA,5,5.5,45,2600,NA,NA,NA,12.5,NA,NA,1.14
"Plantago lanceolata",1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0.13,4,NA,17.5,25119,2,1,NA,NA,NA,0.99,0.4
"Platea latifolia",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,1,0,0,0,1,NA,5,1,NA,NA,2,1,3.5,1.75,NA,NA,NA
"Plocosperma buxifolium",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,0,0,1,1,0,NA,5,1.5,NA,NA,2,1,NA,NA,NA,NA,0.8
"Plumbago auriculata",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0.85,5,1,68.5,1295,1,NA,NA,NA,NA,NA,3.3
"Podophyllum peltatum",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,NA,NA,NA,NA,1,0,0,1,0,0.45,15,43.3,38,NA,1,NA,NA,NA,NA,NA,5
"Poeppigia procera",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,0,0,0,1,1,0,0,NA,NA,NA,10,8,NA,NA,1,NA,NA,NA,NA,NA,NA
"Polycarpon tetraphyllum",1,0,0,1,0,1,0,1,0,1,NA,NA,NA,0,0,1,0,0,1,1,0,NA,NA,NA,NA,1,0,0,1,0,0.225,2.75,NA,17.5,NA,NA,NA,NA,NA,NA,NA,NA
"Polygala lewtonii",1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,NA,8,1,NA,NA,2,NA,NA,NA,NA,NA,NA
"Populus alba",0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Portulaca oleracea",1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,NA,NA,NA,NA,1,0,0,1,0,0.3,9.5,60,57.5,NA,4.5,1,NA,NA,NA,NA,0.75
"Posidonia australis",1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,NA,NA,NA,0,1,0.3,3,1,528,980000,1,NA,NA,NA,NA,0.535,NA
"Posoqueria latifolia",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,14,5,NA,75.5,NA,2,1,NA,5.5,NA,NA,NA
"Potamogeton berchtoldii",1,0,0,1,1,0,0,1,1,1,NA,NA,NA,1,0,0,1,0,0,0,1,0,1,0,0,NA,NA,NA,0,1,NA,4,1,NA,NA,4,0,0.24,0.165,NA,NA,NA
"Primula sieboldii",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0.185,5,NA,NA,NA,5,1,NA,NA,NA,NA,NA
"Prionotes cerinthoides",1,0,1,0,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,1,0,1,0,0,0,1,0,0,1,0,NA,5,NA,NA,NA,5,1,NA,NA,NA,NA,2.225
"Prunus persica",0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,7,46,2,38,NA,1,NA,6,NA,NA,0.41,NA
"Putranjiva roxburghii",0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,NA,NA,NA,0,1,0,1,0,0,1,0,0,1,1,NA,3.16666666666667,2,NA,NA,3,1,NA,NA,NA,NA,0.625
"Qualea grandiflora",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,NA,NA,NA,NA,0,0,1,1,0,12,1,56,NA,NA,3,1,NA,NA,NA,0.99,2
"Quercus rubra",0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,30,6,2,NA,NA,3,NA,NA,NA,NA,1,NA
"Quinchamalium chilense",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,1,0,1,0,0,0,1,0,0,1,0,0.2125,5,1,22.275,NA,1,NA,0.2,NA,0.9,NA,1.2025
"Quintinia hyehenensis",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1,0,6.25,5,NA,NA,NA,4.5,NA,NA,NA,NA,NA,0.5
"Rafflesia keithii",NA,NA,NA,NA,NA,NA,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,NA,NA,NA,NA,1,0,0,1,1,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
"Ranunculus acris",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0.575,60,1,17.5,NA,20,0,0.3,NA,NA,NA,2.15
"Ravenala madagascariensis",0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,13.5,6,12.5,NA,NA,3,1,NA,NA,NA,NA,19
"Reseda lutea",1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,NA,NA,NA,NA,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhexia virginica",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhizophora stylosa",0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,13.5,8,2,NA,NA,2,1,NA,NA,NA,0.25,NA
"Ribes aureum",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,1,0,0,0,1,0,0,1,0,2,5,NA,38,NA,2,NA,NA,NA,NA,NA,1.6
"Roridula dentata",0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,2,5,1,NA,NA,3,1,0.5,NA,NA,0.0142857142857143,2.5
"Roridula gorgonias",1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,5,3,75.5,NA,3,1,0.5,NA,NA,0.0266666666666667,2.5
"Roupala montana",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,6,4,2,NA,NA,1,NA,NA,NA,NA,NA,0.775
"Rourea induta",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1
"Ruellia ciliatiflora",1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ruta graveolens",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,9,4,25.5,304,4,1,0.75,NA,NA,NA,NA
"Sagina procumbens",1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0.2,4,NA,NA,NA,4,NA,0.275,NA,NA,NA,0.2
"Sagittaria latifolia",1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0,NA,30,NA,NA,NA,6,NA,NA,NA,NA,NA,4
"Salpiglossis sinuata",1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,NA,NA,NA,NA,0,0,1,1,0,1,4,NA,67.5,NA,2,1,NA,NA,0.335,NA,5.5
"Santalum spicatum",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,0.88,NA
"Sarracenia purpurea",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0.25,65,282,NA,NA,5,1,NA,1.5,NA,1,6
"Sauvagesia rhodoleuca",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,1,0,1.15,5,NA,NA,NA,3,NA,NA,NA,NA,0.2,0.525
"Saxifraga cernua",1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0.155,10,232,NA,218,2,0.7,NA,NA,NA,NA,15
"Scaevola montana",0,1,0,1,0,1,0,1,NA,NA,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Schinus molle",0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,NA,NA,NA,NA,1,0,0,1,1,8.5,10,1,30.75,NA,3,1,0.55,0.55,NA,NA,NA
"Schisandra chinensis",1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,NA,NA,NA,0,1,NA,NA,NA,NA,1,0,0,1,0,NA,5.5,2.5,38,NA,27,0,0.625,30.5,NA,0.745714285714286,NA
"Schizanthus grahamii",1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,0,0,1,1,0,0.5,2,NA,NA,NA,2,1,NA,NA,NA,0.538,2.9
"Scleranthus annuus",1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0.135,3.5,1,NA,300,2,1,0.41,0.1,NA,NA,0.15
"Senecio vulgaris",1,0,0,1,0,1,0,1,0,1,NA,NA,NA,0,0,1,1,0,0,1,0,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sesamum indicum",1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1.2,4,999,75.5,NA,2,1,0.65,0.225,NA,NA,2.4
"Sextonia rubra",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,40,9,1,NA,NA,1,NA,NA,NA,NA,0.97,NA
"Silene vulgaris",1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,0,0.6,10,NA,38,218,NA,1,1.3,NA,NA,0.438888888888889,NA
"Simmondsia chinensis",0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,NA,10,NA,NA,NA,3,1,NA,NA,NA,NA,0.4
"Sinojackia xylocarpa",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,1,0,0,1,0,NA,13,7,NA,NA,3,1,NA,NA,NA,0.992,1.75
"Solanum dulcamara",1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1.15,5,NA,17.5,NA,2,1,1.25,0.875,NA,0.33,NA
"Souroubea guianensis",0,1,1,0,0,1,0,1,NA,NA,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spergularia marina",1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0.2,4.33333333333333,114,NA,34,NA,NA,0.46,0.46,NA,0.015,NA
"Spigelia marilandica",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,1,0,1,0,NA,NA,NA,NA,1,0,0,1,1,0.45,5,NA,NA,NA,2,1,NA,NA,NA,NA,3.75
"Spiranthes cernua",1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,NA,NA,NA,NA,0,0,1,1,1,0.3,1,NA,38,NA,3,1,NA,NA,NA,NA,NA
"Spondias tuberosa",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,NA,NA,NA,NA,1,0,0,1,0,6,10,1,NA,NA,4.5,NA,NA,NA,NA,0.87,NA
"Staphylea trifolia",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,3.1225,5,9,NA,NA,2.5,1,NA,NA,NA,NA,0.83
"Stellaria media",1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0.2,5.5,NA,38,50,NA,NA,0.4,0.4,NA,NA,0.525
"Sterculia apetala",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,NA,NA,NA,NA,1,0,0,1,1,35,15,11,NA,NA,5,0.2,6,4,NA,NA,2
"Stylidium graminifolium",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,NA,NA,NA,NA,0,0,1,1,0,NA,2,90,NA,NA,2,1,0.85,0.85,NA,NA,1
"Swietenia macrophylla",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,1,30,10,14,NA,NA,5,1,15,9,NA,0.9525,1
"Syringa vulgaris",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,6,2,2,38,NA,2,1,1.25,0.5,NA,NA,NA
"Tacca chantrieri",1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,NA,NA,NA,NA,1,0,0,1,1,0.75,6,285,NA,49.5,NA,NA,NA,NA,NA,0.135,NA
"Tacca leontopetaloides",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,1,0,0,1,1,1,6,23,NA,137,3,NA,NA,NA,NA,NA,NA
"Talinum paniculatum",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,1,0,1,0,NA,NA,NA,NA,1,0,0,1,0,0.65,15.75,19,38,136,3,NA,0.4,0.4,NA,NA,0.84
"Tectona grandis",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,40,6,NA,NA,3207.5,NA,NA,1.5,1.5,NA,0.975,0.55
"Ternstroemia crassifolia",0,1,0,1,0,1,NA,NA,1,0,0,1,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tetracentron sinense",0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,40,4,6,NA,720,4,0.8,0.375,0.325,NA,NA,0.15
"Tetratheca aphylla",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,NA,NA,NA,1,0,1.9,10,1,NA,NA,3,NA,0.34,NA,NA,1,NA
"Tetroncium magellanicum",1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,NA,4,1,NA,NA,4,0.3,NA,NA,NA,NA,NA
"Thalictrum minus",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0.825,12.5,1,38,NA,7.75,0,0.325,0.325,NA,NA,0.7
"Theobroma cacao",0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,18,5,NA,17.5,NA,5,1,17,NA,NA,0.7575,1
"Thymelaea hirsuta",0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1.6,8,1,28,NA,1,NA,NA,NA,NA,NA,2.88666666666667
"Titanotrichum oldhamii",1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,0,0,1,1,0,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5
"Trachelium caeruleum",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,5,NA,23,NA,NA,NA,NA,NA,NA,NA,0.5
"Tragopogon dubius",1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,NA,NA,NA,NA,0,0,1,1,0,0.7,5,1,38,NA,2,1,2.6,0.155,NA,0.15,NA
"Tribulus terrestris",1,0,0,1,0,1,0,1,0,1,NA,NA,NA,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0.35,10,20,45.5,398,5,1,0.5,1,NA,NA,0.9
"Trichilia emetica",0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,NA,NA,NA,NA,1,0,0,NA,NA,30,10,2,NA,NA,3,1,3,NA,NA,NA,1.6
"Trillium erectum",1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,NA,NA,NA,NA,1,0,0,1,1,0.3,6,NA,NA,537,3,NA,1.3,1.25,NA,0.53,NA
"Trithuria submersa",1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0.075,1,1,NA,24,1,NA,NA,NA,NA,NA,1
"Trochocarpa laurina",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,NA,NA,NA,NA,1,0,0,1,0,NA,10,1,NA,NA,10,1,NA,0.7,NA,NA,0.25
"Tropaeolum majus",1,0,1,1,0,1,0,1,1,1,NA,NA,NA,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,NA,8,NA,17.5,63480.5,NA,NA,1.75,1.75,NA,NA,4.45
"Tropaeolum tricolor",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,0,0,1,1,0,2,8,1,NA,NA,3,1,NA,NA,NA,NA,3
"Turnera ulmifolia",0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,NA,NA,NA,NA,1,0,0,1,0,0.875,5,504.5,75.5,NA,3,1,NA,NA,NA,0.187692307692308,5
"Typha latifolia",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,1,0,0,1,0,0,0,1,0,1,0,0,NA,NA,NA,0,1,2.25,2,1,38,NA,1,NA,1.25,NA,NA,NA,NA
"Urtica dioica",1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1.75,4,1,17.5,NA,1,NA,0.12,0.08,NA,NA,NA
"Vaccinium uliginosum",0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0.6,9,NA,48.25,316,3.5,1,0.7,0.7,NA,NA,0.6
"Valeriana officinalis",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0.75,3,1,38,NA,3,NA,0.45,0.45,NA,0.875,0.5
"Vellozia squamata",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Verbascum thapsus",1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,2,5,NA,NA,NA,2,1,0.85,NA,NA,0.676,1.5
"Veronica anagallis-aquatica",1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0.55,2,NA,38,43,2,NA,0.3,NA,0.205,NA,0.625
"Viburnum rufidulum",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63
"Viola pubescens",1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,NA,NA,NA,NA,0,0,1,1,0,0.275,5,9,NA,NA,3,1,1.6,1,NA,0.665,NA
"Vitex negundo",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,1,0,1,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vitis labrusca",0,1,1,0,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,NA,NA,NA,NA,1,0,0,0,1,NA,5,NA,NA,NA,NA,NA,NA,1.2,NA,NA,0.2
"Viviania marifolia",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,4,10,2,30,NA,3,1,NA,NA,NA,NA,NA
"Vriesea carinata",1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,NA,NA,NA,NA,1,0,1,1,0,NA,6,NA,NA,NA,3,NA,NA,NA,NA,0.4575,NA
"Warburgia ugandensis",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,NA,NA,NA,NA,1,0,0,1,1,NA,10,NA,NA,NA,5,1,NA,NA,NA,0.89,NA
"Wurmbea biglandulosa",1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,NA,6,21.5,NA,NA,3,NA,NA,NA,NA,0.856666666666667,1.475
"Xanthosoma sagittifolium",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,1,0,2,5,35,NA,390.5,4.25,1,NA,NA,NA,NA,NA
"Ximenia americana",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,NA,NA,NA,NA,1,0,0,1,1,5,7.33333333333333,1,NA,NA,4,NA,NA,NA,NA,NA,1.2
"Zea mays",1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,NA,NA,NA,0,1,3.25,3,1,75.5,14818,1,NA,0.725,0.45,NA,0.97,0.745
"Zelkova serrata",0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,NA,NA,NA,0,1,30,7,1,NA,NA,2,NA,0.3,NA,NA,1,0.9
"Zostera marina",1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,NA,NA,NA,0,1,0.7,1,1,NA,NA,2,NA,0.3375,NA,0.45,0.735,NA
