NDat,NTaxDat,NChrDat,NRefDat,NCstDat,ValDat,MinDat,MaxDat,NotesDat,NDacDat,NRankDat,NDqsDat,NUsrcrDat,DcrDat,NUsrupDat,DupDat,DeleteDat,NUsrdelDat,DdelDat,PseudoDat,HistoryDat
319237,Cypripedium calceolus,84. Outcrossing rate (C1),Brzosko et al 2011 (PlantSystEvol),,0.91,,,"11 Allozymes
Fis
(Possible clonality)",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Cypripedium calceolus / 84. Outcrossing rate (C1): 0.91 [Brzosko et al 2011, Sylvain Glémin, 15/04/2021] {11 Allozymes
Fis
(Possible clonality)}"
319238,Diapensia lapponica,84. Outcrossing rate (C1),Chung et al 2013 (PopEcol),,0.18,,,"13 Allozymes
Fis",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Diapensia lapponica / 84. Outcrossing rate (C1): 0.18 [Chung et al 2013, Sylvain Glémin, 15/04/2021] {13 Allozymes
Fis}"
319239,Diapensia lapponica,84. Outcrossing rate (C1),Chung et al 2013 (PopEcol),,0.07,,,"13 Allozymes
Fis",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Diapensia lapponica / 84. Outcrossing rate (C1): 0.07 [Chung et al 2013, Sylvain Glémin, 15/04/2021] {13 Allozymes
Fis}"
319240,Diapensia lapponica,84. Outcrossing rate (C1),Chung et al 2013 (PopEcol),,0.07,,,"13 Allozymes
Fis",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Diapensia lapponica / 84. Outcrossing rate (C1): 0.07 [Chung et al 2013, Sylvain Glémin, 15/04/2021] {13 Allozymes
Fis}"
319241,Diapensia lapponica,84. Outcrossing rate (C1),Chung et al 2013 (PopEcol),,0.73,,,"13 Allozymes
Fis",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,Sylvain Glémin,15-Apr-21,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Diapensia lapponica / 84. Outcrossing rate (C1): 0.07 [Chung et al 2013, Sylvain Glémin, 15/04/2021] {13 Allozymes
Fis}_x000D_[Updated by Sylvain Glémin on 15/04/2021] Diapensia lapponica / 84. Outcrossing rate (C1): 0"
319242,Diapensia lapponica,84. Outcrossing rate (C1),Chung et al 2013 (PopEcol),,0.48,,,"13 Allozymes
Fis",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Diapensia lapponica / 84. Outcrossing rate (C1): 0.48 [Chung et al 2013, Sylvain Glémin, 15/04/2021] {13 Allozymes
Fis}"
319243,Diapensia lapponica,84. Outcrossing rate (C1),Chung et al 2013 (PopEcol),,0.61,,,"13 Allozymes
Fis",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Diapensia lapponica / 84. Outcrossing rate (C1): 0.61 [Chung et al 2013, Sylvain Glémin, 15/04/2021] {13 Allozymes
Fis}"
319244,Diapensia lapponica,1. Habit (D1),Chung et al 2013 (PopEcol),1. Habit (D1): (1) shrub,,,,"""subshrub"" dwarf",explicit from the text (described as such),species,,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Diapensia lapponica / 1. Habit (D1): (1) shrub [Chung et al 2013, Sylvain Glémin, 15/04/2021] {""subshrub"" dwarf}"
319245,Diapensia lapponica,2. Maximum vertical height (C1),Chung et al 2013 (PopEcol),,,0.01,0.03,,explicit from the text (described as such),species,,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Diapensia lapponica / 2. Maximum vertical height (C1): 0 [Chung et al 2013, Sylvain Glémin, 15/04/2021]"
319246,Diapensia lapponica,6. Leaf phenology (D1),Chung et al 2013 (PopEcol),6. Leaf phenology (D1): (1) evergreen,,,,,explicit from the text (described as such),species,,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Diapensia lapponica / 6. Leaf phenology (D1): (1) evergreen [Chung et al 2013, Sylvain Glémin, 15/04/2021]"
319247,Diapensia lapponica,239. Main color of perianth at anthesis (D1),Chung et al 2013 (PopEcol),239. Main color of perianth at anthesis (D1): (3) white,,,,,explicit from the text (described as such),species,,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Diapensia lapponica / 239. Main color of perianth at anthesis (D1): (3) white [Chung et al 2013, Sylvain Glémin, 15/04/2021]"
319248,Diapensia lapponica,411. Number of ovules per functional carpel (C1),Chung et al 2013 (PopEcol),,,70,90,"""number of seeds per capsule""",explicit from the text (described as such),species,,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Diapensia lapponica / 411. Number of ovules per functional carpel (C1): 70-90 [Chung et al 2013, Sylvain Glémin, 15/04/2021] {""number of seeds per capsule""}"
319249,Diapensia lapponica,15560. Fruit type (D1),Chung et al 2013 (PopEcol),15560. Fruit type (D1): (0) capsule,,,,,explicit from the text (described as such),species,,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Diapensia lapponica / 15560. Fruit type (D1): (0) capsule [Chung et al 2013, Sylvain Glémin, 15/04/2021]"
319250,Diapensia lapponica,20500. Fruit length (C1),Chung et al 2013 (PopEcol),,0.3,,,,explicit from the text (described as such),species,,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Diapensia lapponica / 20500. Fruit length (C1): 0.3 [Chung et al 2013, Sylvain Glémin, 15/04/2021]"
319251,Diapensia lapponica,90. Pollination syndrome (D1),Chung et al 2013 (PopEcol),90. Pollination syndrome (D1): (2) bee,,,,,explicit from the text (described as such),species,,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Diapensia lapponica / 90. Pollination syndrome (D1): (2) bee [Chung et al 2013, Sylvain Glémin, 15/04/2021]"
319252,Diapensia lapponica,90. Pollination syndrome (D1),Chung et al 2013 (PopEcol),90. Pollination syndrome (D1): (7) fly,,,,,explicit from the text (described as such),species,,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Diapensia lapponica / 90. Pollination syndrome (D1): (7) fly [Chung et al 2013, Sylvain Glémin, 15/04/2021]"
319253,Diapensia lapponica,95. Dispersal syndrome (D1),Chung et al 2013 (PopEcol),95. Dispersal syndrome (D1): (0) unassisted dispersal,,,,"""no adaptation for long-distance dispersal""",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Diapensia lapponica / 95. Dispersal syndrome (D1): (0) unassisted dispersal [Chung et al 2013, Sylvain Glémin, 15/04/2021] {""no adaptation for long-distance dispersal""}"
319254,Liriodendron chinense,84. Outcrossing rate (C1),Li et al 2014 (BiochSystEcol),,0.74,,,"14 Microsatellites
Fis",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Liriodendron chinense / 84. Outcrossing rate (C1): 0.74 [Li et al 2014, Sylvain Glémin, 15/04/2021] {14 Microsatellites
Fis}"
319255,Liriodendron chinense,84. Outcrossing rate (C1),Li et al 2014 (BiochSystEcol),,0.6,,,"14 Microsatellites
Fis",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Liriodendron chinense / 84. Outcrossing rate (C1): 0.60 [Li et al 2014, Sylvain Glémin, 15/04/2021] {14 Microsatellites
Fis}"
319256,Liriodendron chinense,84. Outcrossing rate (C1),Li et al 2014 (BiochSystEcol),,0.54,,,"14 Microsatellites
Fis",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Liriodendron chinense / 84. Outcrossing rate (C1): 0.54 [Li et al 2014, Sylvain Glémin, 15/04/2021] {14 Microsatellites
Fis}"
319257,Liriodendron chinense,84. Outcrossing rate (C1),Li et al 2014 (BiochSystEcol),,0.8,,,"14 Microsatellites
Fis",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Liriodendron chinense / 84. Outcrossing rate (C1): 0.80 [Li et al 2014, Sylvain Glémin, 15/04/2021] {14 Microsatellites
Fis}"
319258,Liriodendron chinense,84. Outcrossing rate (C1),Li et al 2014 (BiochSystEcol),,0.61,,,"14 Microsatellites
Fis",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Liriodendron chinense / 84. Outcrossing rate (C1): 0.61 [Li et al 2014, Sylvain Glémin, 15/04/2021] {14 Microsatellites
Fis}"
319259,Liriodendron chinense,84. Outcrossing rate (C1),Li et al 2014 (BiochSystEcol),,0.54,,,"14 Microsatellites
Fis",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Liriodendron chinense / 84. Outcrossing rate (C1): 0.54 [Li et al 2014, Sylvain Glémin, 15/04/2021] {14 Microsatellites
Fis}"
319260,Liriodendron chinense,84. Outcrossing rate (C1),Li et al 2014 (BiochSystEcol),,0.65,,,"14 Microsatellites
Fis",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Liriodendron chinense / 84. Outcrossing rate (C1): 0.65 [Li et al 2014, Sylvain Glémin, 15/04/2021] {14 Microsatellites
Fis}"
319261,Liriodendron chinense,84. Outcrossing rate (C1),Li et al 2014 (BiochSystEcol),,0.83,,,"14 Microsatellites
Fis",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Liriodendron chinense / 84. Outcrossing rate (C1): 0.83 [Li et al 2014, Sylvain Glémin, 15/04/2021] {14 Microsatellites
Fis}"
319262,Liriodendron chinense,84. Outcrossing rate (C1),Li et al 2014 (BiochSystEcol),,0.57,,,"14 Microsatellites
Fis",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Liriodendron chinense / 84. Outcrossing rate (C1): 0.57 [Li et al 2014, Sylvain Glémin, 15/04/2021] {14 Microsatellites
Fis}"
319263,Liriodendron chinense,84. Outcrossing rate (C1),Li et al 2014 (BiochSystEcol),,0.56,,,"14 Microsatellites
Fis",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Liriodendron chinense / 84. Outcrossing rate (C1): 0.56 [Li et al 2014, Sylvain Glémin, 15/04/2021] {14 Microsatellites
Fis}"
319264,Liriodendron chinense,84. Outcrossing rate (C1),Li et al 2014 (BiochSystEcol),,0.52,,,"14 Microsatellites
Fis",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Liriodendron chinense / 84. Outcrossing rate (C1): 0.52 [Li et al 2014, Sylvain Glémin, 15/04/2021] {14 Microsatellites
Fis}"
319265,Liriodendron chinense,84. Outcrossing rate (C1),Li et al 2014 (BiochSystEcol),,0.61,,,"14 Microsatellites
Fis",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Liriodendron chinense / 84. Outcrossing rate (C1): 0.61 [Li et al 2014, Sylvain Glémin, 15/04/2021] {14 Microsatellites
Fis}"
319266,Malesherbia linearifolia,82. Autonomous selfing (D1),Arroyo and Uslar 1993 (BotJLinSoc),82. Autonomous selfing (D1): (1) variable,,,,,explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Malesherbia linearifolia / 82. Autonomous selfing (D1): (1) variable [Arroyo and Uslar 1993, Sylvain Glémin, 15/04/2021]"
319267,Manilkara zapota,80. Phenotypic mating system (D1),Thompson et al 2015 (TreeGenetGenome),80. Phenotypic mating system (D1): (1) (predominantly) outcrossing,,,,,explicit from the text (described as such),species,,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Manilkara zapota / 80. Phenotypic mating system (D1): (1) (predominantly) outcrossing [Thompson et al 2015, Sylvain Glémin, 15/04/2021]"
319268,Manilkara zapota,84. Outcrossing rate (C1),Thompson et al 2015 (TreeGenetGenome),,0.88,,,"6 Microsatellites
Fis",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Manilkara zapota / 84. Outcrossing rate (C1): 0.88 [Thompson et al 2015, Sylvain Glémin, 15/04/2021] {6 Microsatellites
Fis}"
319269,Manilkara zapota,84. Outcrossing rate (C1),Thompson et al 2015 (TreeGenetGenome),,0.76,,,"6 Microsatellites
Fis",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Manilkara zapota / 84. Outcrossing rate (C1): 0.76 [Thompson et al 2015, Sylvain Glémin, 15/04/2021] {6 Microsatellites
Fis}"
319270,Manilkara zapota,84. Outcrossing rate (C1),Thompson et al 2015 (TreeGenetGenome),,0.81,,,"6 Microsatellites
Fis",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Manilkara zapota / 84. Outcrossing rate (C1): 0.81 [Thompson et al 2015, Sylvain Glémin, 15/04/2021] {6 Microsatellites
Fis}"
319271,Manilkara zapota,84. Outcrossing rate (C1),Thompson et al 2015 (TreeGenetGenome),,0.81,,,"6 Microsatellites
Fis",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Manilkara zapota / 84. Outcrossing rate (C1): 0.81 [Thompson et al 2015, Sylvain Glémin, 15/04/2021] {6 Microsatellites
Fis}"
319272,Manilkara zapota,1. Habit (D1),Thompson et al 2015 (TreeGenetGenome),1. Habit (D1): (0) tree,,,,,explicit from the text (described as such),species,,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Manilkara zapota / 1. Habit (D1): (0) tree [Thompson et al 2015, Sylvain Glémin, 15/04/2021]"
319273,Manilkara zapota,2. Maximum vertical height (C1),Thompson et al 2015 (TreeGenetGenome),,40,,,,explicit from the text (described as such),species,,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Manilkara zapota / 2. Maximum vertical height (C1): 40.0 [Thompson et al 2015, Sylvain Glémin, 15/04/2021]"
319274,Manilkara zapota,4. Plant sexual system (D1),Thompson et al 2015 (TreeGenetGenome),4. Plant sexual system (D1): (0) bisexual,,,,,explicit from the text (described as such),species,,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Manilkara zapota / 4. Plant sexual system (D1): (0) bisexual [Thompson et al 2015, Sylvain Glémin, 15/04/2021]"
319275,Manilkara zapota,5. Life history (D1),Thompson et al 2015 (TreeGenetGenome),5. Life history (D1): (4) polycarpic perennial,,,,,interpreted from the text,species,,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Manilkara zapota / 5. Life history (D1): (4) polycarpic perennial [Thompson et al 2015, Sylvain Glémin, 15/04/2021]"
319276,Manilkara zapota,90. Pollination syndrome (D1),Thompson et al 2015 (TreeGenetGenome),90. Pollination syndrome (D1): (G) insect (general),,,,,explicit from the text (described as such),species,,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Manilkara zapota / 90. Pollination syndrome (D1): (G) insect (general) [Thompson et al 2015, Sylvain Glémin, 15/04/2021]"
319277,Manilkara zapota,90. Pollination syndrome (D1),Thompson et al 2015 (TreeGenetGenome),90. Pollination syndrome (D1): (B) bat,,,,,explicit from the text (described as such),species,,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Manilkara zapota / 90. Pollination syndrome (D1): (B) bat [Thompson et al 2015, Sylvain Glémin, 15/04/2021]"
319278,Manilkara zapota,20503. Fruit color (D1),Thompson et al 2015 (TreeGenetGenome),20503. Fruit color (D1): (3) brown,,,,,explicit from the text (described as such),species,,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Manilkara zapota / 20503. Fruit color (D1): (3) brown [Thompson et al 2015, Sylvain Glémin, 15/04/2021]"
319279,Manilkara zapota,15560. Fruit type (D1),Thompson et al 2015 (TreeGenetGenome),15560. Fruit type (D1): (6) berry,,,,,explicit from the text (described as such),species,,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Manilkara zapota / 15560. Fruit type (D1): (6) berry [Thompson et al 2015, Sylvain Glémin, 15/04/2021]"
319280,Manilkara zapota,20500. Fruit length (C1),Thompson et al 2015 (TreeGenetGenome),,,2,10,,explicit from the text (described as such),species,,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Manilkara zapota / 20500. Fruit length (C1): 2.0-10.0 [Thompson et al 2015, Sylvain Glémin, 15/04/2021]"
319281,Manilkara zapota,95. Dispersal syndrome (D1),Thompson et al 2015 (TreeGenetGenome),95. Dispersal syndrome (D1): (2) endo-zoochory,,,,,interpreted from the text,species,,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Manilkara zapota / 95. Dispersal syndrome (D1): (2) endo-zoochory [Thompson et al 2015, Sylvain Glémin, 15/04/2021]"
319282,Myristica fragrans,84. Outcrossing rate (C1),Kusuma et al 2020 (MolBiolReport),,0.97,,,"15 Microsatellites
Fis",interpreted from the text,species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Myristica fragrans / 84. Outcrossing rate (C1): 0.97 [Kusuma et al 2020, Sylvain Glémin, 15/04/2021] {15 Microsatellites
Fis}"
319283,Myristica fragrans,84. Outcrossing rate (C1),Kusuma et al 2020 (MolBiolReport),,0.95,,,"15 Microsatellites
Fis",interpreted from the text,species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Myristica fragrans / 84. Outcrossing rate (C1): 0.95 [Kusuma et al 2020, Sylvain Glémin, 15/04/2021] {15 Microsatellites
Fis}"
319284,Myristica fragrans,84. Outcrossing rate (C1),Kusuma et al 2020 (MolBiolReport),,0.87,,,"15 Microsatellites
Fis",interpreted from the text,species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Myristica fragrans / 84. Outcrossing rate (C1): 0.87 [Kusuma et al 2020, Sylvain Glémin, 15/04/2021] {15 Microsatellites
Fis}"
319285,Myristica fragrans,84. Outcrossing rate (C1),Kusuma et al 2020 (MolBiolReport),,0.82,,,"15 Microsatellites
Fis",interpreted from the text,species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Myristica fragrans / 84. Outcrossing rate (C1): 0.82 [Kusuma et al 2020, Sylvain Glémin, 15/04/2021] {15 Microsatellites
Fis}"
319286,Nelumbo lutea,84. Outcrossing rate (C1),Kusuma et al 2020 (MolBiolReport),,0.82,,,"19 Microsatellites
Fis",interpreted from the text,species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Nelumbo lutea / 84. Outcrossing rate (C1): 0.82 [Kusuma et al 2020, Sylvain Glémin, 15/04/2021] {19 Microsatellites
Fis}"
319287,Nelumbo lutea,84. Outcrossing rate (C1),Kusuma et al 2020 (MolBiolReport),,0.79,,,"19 Microsatellites
Fis",interpreted from the text,species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Nelumbo lutea / 84. Outcrossing rate (C1): 0.79 [Kusuma et al 2020, Sylvain Glémin, 15/04/2021] {19 Microsatellites
Fis}"
319288,Nelumbo lutea,84. Outcrossing rate (C1),Kusuma et al 2020 (MolBiolReport),,0.77,,,"19 Microsatellites
Fis",interpreted from the text,species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Nelumbo lutea / 84. Outcrossing rate (C1): 0.77 [Kusuma et al 2020, Sylvain Glémin, 15/04/2021] {19 Microsatellites
Fis}"
319289,Nelumbo lutea,84. Outcrossing rate (C1),Kusuma et al 2020 (MolBiolReport),,0.69,,,"19 Microsatellites
Fis",interpreted from the text,species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Nelumbo lutea / 84. Outcrossing rate (C1): 0.69 [Kusuma et al 2020, Sylvain Glémin, 15/04/2021] {19 Microsatellites
Fis}"
319290,Nelumbo lutea,84. Outcrossing rate (C1),Kusuma et al 2020 (MolBiolReport),,0.62,,,"19 Microsatellites
Fis",interpreted from the text,species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Nelumbo lutea / 84. Outcrossing rate (C1): 0.62 [Kusuma et al 2020, Sylvain Glémin, 15/04/2021] {19 Microsatellites
Fis}"
319291,Nelumbo lutea,84. Outcrossing rate (C1),Kusuma et al 2020 (MolBiolReport),,0.57,,,"19 Microsatellites
Fis",interpreted from the text,species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Nelumbo lutea / 84. Outcrossing rate (C1): 0.57 [Kusuma et al 2020, Sylvain Glémin, 15/04/2021] {19 Microsatellites
Fis}"
319292,Nelumbo lutea,84. Outcrossing rate (C1),Kusuma et al 2020 (MolBiolReport),,0.55,,,"19 Microsatellites
Fis",interpreted from the text,species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Nelumbo lutea / 84. Outcrossing rate (C1): 0.55 [Kusuma et al 2020, Sylvain Glémin, 15/04/2021] {19 Microsatellites
Fis}"
319293,Nelumbo lutea,84. Outcrossing rate (C1),Kusuma et al 2020 (MolBiolReport),,0.53,,,"19 Microsatellites
Fis",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Nelumbo lutea / 84. Outcrossing rate (C1): 0.53 [Kusuma et al 2020, Sylvain Glémin, 15/04/2021] {19 Microsatellites
Fis}"
319294,Nelumbo lutea,84. Outcrossing rate (C1),Kusuma et al 2020 (MolBiolReport),,0.51,,,"19 Microsatellites
Fis",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Nelumbo lutea / 84. Outcrossing rate (C1): 0.51 [Kusuma et al 2020, Sylvain Glémin, 15/04/2021] {19 Microsatellites
Fis}"
319295,Nelumbo lutea,84. Outcrossing rate (C1),Kusuma et al 2020 (MolBiolReport),,0.51,,,"19 Microsatellites
Fis",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Nelumbo lutea / 84. Outcrossing rate (C1): 0.51 [Kusuma et al 2020, Sylvain Glémin, 15/04/2021] {19 Microsatellites
Fis}"
319296,Nelumbo lutea,84. Outcrossing rate (C1),Kusuma et al 2020 (MolBiolReport),,0.51,,,"19 Microsatellites
Fis",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Nelumbo lutea / 84. Outcrossing rate (C1): 0.51 [Kusuma et al 2020, Sylvain Glémin, 15/04/2021] {19 Microsatellites
Fis}"
319297,Nelumbo lutea,84. Outcrossing rate (C1),Kusuma et al 2020 (MolBiolReport),,0.48,,,"19 Microsatellites
Fis",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Nelumbo lutea / 84. Outcrossing rate (C1): 0.48 [Kusuma et al 2020, Sylvain Glémin, 15/04/2021] {19 Microsatellites
Fis}"
319298,Nelumbo lutea,84. Outcrossing rate (C1),Kusuma et al 2020 (MolBiolReport),,0.47,,,"19 Microsatellites
Fis",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Nelumbo lutea / 84. Outcrossing rate (C1): 0.47 [Kusuma et al 2020, Sylvain Glémin, 15/04/2021] {19 Microsatellites
Fis}"
319299,Nelumbo lutea,84. Outcrossing rate (C1),Kusuma et al 2020 (MolBiolReport),,0.44,,,"19 Microsatellites
Fis",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Nelumbo lutea / 84. Outcrossing rate (C1): 0.44 [Kusuma et al 2020, Sylvain Glémin, 15/04/2021] {19 Microsatellites
Fis}"
319300,Nelumbo lutea,84. Outcrossing rate (C1),Kusuma et al 2020 (MolBiolReport),,0.37,,,"19 Microsatellites
Fis",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Nelumbo lutea / 84. Outcrossing rate (C1): 0.37 [Kusuma et al 2020, Sylvain Glémin, 15/04/2021] {19 Microsatellites
Fis}"
319301,Nelumbo lutea,84. Outcrossing rate (C1),Kusuma et al 2020 (MolBiolReport),,0.35,,,"19 Microsatellites
Fis",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Nelumbo lutea / 84. Outcrossing rate (C1): 0.35 [Kusuma et al 2020, Sylvain Glémin, 15/04/2021] {19 Microsatellites
Fis}"
319302,Nelumbo lutea,84. Outcrossing rate (C1),Kusuma et al 2020 (MolBiolReport),,0.31,,,"19 Microsatellites
Fis",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Nelumbo lutea / 84. Outcrossing rate (C1): 0.31 [Kusuma et al 2020, Sylvain Glémin, 15/04/2021] {19 Microsatellites
Fis}"
319303,Nelumbo lutea,84. Outcrossing rate (C1),Kusuma et al 2020 (MolBiolReport),,0.22,,,"19 Microsatellites
Fis",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Nelumbo lutea / 84. Outcrossing rate (C1): 0.22 [Kusuma et al 2020, Sylvain Glémin, 15/04/2021] {19 Microsatellites
Fis}"
319304,Nelumbo lutea,84. Outcrossing rate (C1),Kusuma et al 2020 (MolBiolReport),,0.14,,,"19 Microsatellites
Fis",explicit from the text (described as such),species,1,Sylvain Glémin,15-Apr-21,,,0,,,0,"[Created by Sylvain Glémin on 15/04/2021] Nelumbo lutea / 84. Outcrossing rate (C1): 0.14 [Kusuma et al 2020, Sylvain Glémin, 15/04/2021] {19 Microsatellites
Fis}"
